Force,Stdev,Skewness,Extension,Distance,Force_1,Force_2,Stdev_1,Stdev_2
0.2521531,5.1917462,-0.020872049,198.31898,200,0.27760515,0.22670108,3.6788177,3.717082
0.29718864,5.0850434,-0.022255747,204.34785,206.32912,0.28056177,0.31381553,3.6401963,3.6367257
0.30592155,5.2460542,0.030483505,210.61874,212.65823,0.30605301,0.3057901,3.6702037,3.8251953
0.29339451,5.2328506,0.03431876,217.03137,218.98734,0.28899011,0.2977989,3.6618161,3.7984374
0.32312065,5.2346177,0.031690776,223.16232,225.31645,0.3487407,0.29750058,3.7059789,3.7376254
0.40031853,5.1917539,-0.007874866,228.97678,231.64557,0.41503286,0.38560423,3.6399076,3.7529402
0.42025369,5.2258296,-0.044387158,235.17299,237.97469,0.40665647,0.43385094,3.6728694,3.7149177
0.47225684,5.1849566,-0.00018016,241.15543,244.3038,0.45580974,0.48870391,3.7257819,3.6991403
0.49254674,5.1642842,0.00677855,247.34927,250.6329,0.47946569,0.50562775,3.6448438,3.6416714
0.54231995,5.0256476,0.027177015,253.34656,256.96204,0.54055172,0.54408818,3.6451075,3.6651931
0.63931227,5.1052499,0.006469751,259.02905,263.29114,0.63796294,0.6406616,3.6662865,3.6940007
0.67383039,4.8846526,0.033031017,265.12805,269.62024,0.65809655,0.68956429,3.5602725,3.6708534
0.78133637,5.025764,0.018516168,270.74045,275.94937,0.8026523,0.76002043,3.5986748,3.6380043
0.84029847,4.9989934,-0.012627773,276.67648,282.27847,0.83519882,0.84539807,3.595228,3.5607705
0.99444586,4.8705382,0.009557381,281.97797,288.6076,0.98785233,1.0010394,3.6414011,3.5856071
1.1070732,5.0106034,-0.013211755,287.55621,294.93671,1.0823687,1.1317778,3.5922763,3.5995986
1.2719446,4.654871,0.018346092,292.78619,301.26581,1.2871968,1.2566926,3.5608966,3.4609315
1.494355,4.5989585,-0.013895248,297.63257,307.59494,1.4603436,1.5283663,3.4934065,3.4903026
1.6996461,4.4302192,0.021609245,302.59308,313.92404,1.6861862,1.7131059,3.4194689,3.4005833
1.9806576,4.3696203,0.070215695,307.04877,320.25317,2.0169578,1.9443575,3.4552703,3.425796
2.2903883,4.1399932,0.075556397,311.31302,326.58228,2.2734494,2.3073275,3.2571802,3.3784885
2.7039452,3.88164,0.067406781,314.8851,332.91141,2.7261884,2.6817019,3.3326812,3.3324764
3.1044881,3.8139615,0.12728034,318.54391,339.24051,3.0926857,3.1162908,3.2060719,3.199543
3.5736609,3.5907624,0.086950876,321.74521,345.56961,3.5270262,3.6202953,3.1509337,3.1427782
4.1183982,3.4228096,0.14089118,324.44275,351.89874,4.1382456,4.0985503,3.1480062,3.1384907
4.6830702,3.1963842,0.14690259,327.00739,358.22784,4.6973701,4.6687708,3.1044641,3.0422628
5.286386,3.0773432,0.1693866,329.31439,364.55698,5.2717414,5.3010302,3.031702,3.0905738
5.917541,2.8473401,0.12857807,331.43579,370.88608,5.9036541,5.9314284,2.9164362,2.9514351
